month,status,event_count,verified_count,notes
2003-07,pending,0,0,
2003-08,pending,0,0,
2003-09,pending,0,0,
2003-10,pending,0,0,
2003-11,pending,0,0,
2003-12,pending,0,0,
2004-01,pending,0,0,
2004-02,pending,0,0,
2004-03,pending,0,0,
2004-04,pending,0,0,
2004-05,pending,0,0,
2004-06,pending,0,0,
2004-07,pending,0,0,
2004-08,pending,0,0,
2004-09,pending,0,0,
2004-10,pending,0,0,
2004-11,pending,0,0,
2004-12,pending,0,0,
2005-01,pending,0,0,
2005-02,pending,0,0,
2005-03,pending,0,0,
2005-04,pending,0,0,
2005-05,pending,0,0,
2005-06,pending,0,0,
2005-07,pending,0,0,
2005-08,pending,0,0,
2005-09,pending,0,0,
2005-10,pending,0,0,
2005-11,pending,0,0,
2005-12,pending,0,0,
2006-01,pending,0,0,
2006-02,pending,0,0,
2006-03,pending,0,0,
2006-04,pending,0,0,
2006-05,pending,0,0,
2006-06,pending,0,0,
2006-07,pending,0,0,
2006-08,pending,0,0,
2006-09,pending,0,0,
2006-10,pending,0,0,
2006-11,pending,0,0,
2006-12,pending,0,0,
2007-01,pending,0,0,
2007-02,pending,0,0,
2007-03,pending,0,0,
2007-04,pending,0,0,
2007-05,pending,0,0,
2007-06,pending,0,0,
2007-07,pending,0,0,
2007-08,pending,0,0,
2007-09,pending,0,0,
2007-10,pending,0,0,
2007-11,pending,0,0,
2007-12,pending,0,0,
2008-01,pending,0,0,
2008-02,pending,0,0,
2008-03,pending,0,0,
2008-04,pending,0,0,
2008-05,pending,0,0,
2008-06,pending,0,0,
2008-07,pending,0,0,
2008-08,pending,0,0,
2008-09,verified,1,1,现有历史种子已迁移并核验；该月全面回填尚未完成
2008-10,pending,0,0,
2008-11,pending,0,0,
2008-12,pending,0,0,
2009-01,pending,0,0,
2009-02,pending,0,0,
2009-03,pending,0,0,
2009-04,pending,0,0,
2009-05,pending,0,0,
2009-06,pending,0,0,
2009-07,pending,0,0,
2009-08,pending,0,0,
2009-09,pending,0,0,
2009-10,pending,0,0,
2009-11,pending,0,0,
2009-12,pending,0,0,
2010-01,pending,0,0,
2010-02,pending,0,0,
2010-03,pending,0,0,
2010-04,pending,0,0,
2010-05,pending,0,0,
2010-06,pending,0,0,
2010-07,pending,0,0,
2010-08,pending,0,0,
2010-09,pending,0,0,
2010-10,pending,0,0,
2010-11,pending,0,0,
2010-12,pending,0,0,
2011-01,pending,0,0,
2011-02,pending,0,0,
2011-03,pending,0,0,
2011-04,pending,0,0,
2011-05,pending,0,0,
2011-06,pending,0,0,
2011-07,pending,0,0,
2011-08,pending,0,0,
2011-09,verified,1,1,现有历史种子已迁移并核验；地沟油关联仅作为已澄清传言记录
2011-10,pending,0,0,
2011-11,pending,0,0,
2011-12,pending,0,0,
2012-01,pending,0,0,
2012-02,pending,0,0,
2012-03,pending,0,0,
2012-04,pending,0,0,
2012-05,pending,0,0,
2012-06,pending,0,0,
2012-07,pending,0,0,
2012-08,pending,0,0,
2012-09,pending,0,0,
2012-10,pending,0,0,
2012-11,pending,0,0,
2012-12,pending,0,0,
2013-01,pending,0,0,
2013-02,pending,0,0,
2013-03,pending,0,0,
2013-04,pending,0,0,
2013-05,pending,0,0,
2013-06,pending,0,0,
2013-07,pending,0,0,
2013-08,pending,0,0,
2013-09,pending,0,0,
2013-10,pending,0,0,
2013-11,pending,0,0,
2013-12,pending,0,0,
2014-01,pending,0,0,
2014-02,pending,0,0,
2014-03,pending,0,0,
2014-04,pending,0,0,
2014-05,pending,0,0,
2014-06,pending,0,0,
2014-07,pending,0,0,
2014-08,pending,0,0,
2014-09,pending,0,0,
2014-10,pending,0,0,
2014-11,pending,0,0,
2014-12,pending,0,0,
2015-01,pending,0,0,
2015-02,pending,0,0,
2015-03,pending,0,0,
2015-04,pending,0,0,
2015-05,pending,0,0,
2015-06,pending,0,0,
2015-07,pending,0,0,
2015-08,pending,0,0,
2015-09,pending,0,0,
2015-10,pending,0,0,
2015-11,pending,0,0,
2015-12,pending,0,0,
2016-01,pending,0,0,
2016-02,pending,0,0,
2016-03,pending,0,0,
2016-04,pending,0,0,
2016-05,pending,0,0,
2016-06,pending,0,0,
2016-07,pending,0,0,
2016-08,verified,1,1,现有历史种子已迁移并核验；该月全面回填尚未完成
2016-09,pending,0,0,
2016-10,pending,0,0,
2016-11,pending,0,0,
2016-12,pending,0,0,
2017-01,pending,0,0,
2017-02,pending,0,0,
2017-03,pending,0,0,
2017-04,pending,0,0,
2017-05,pending,0,0,
2017-06,pending,0,0,
2017-07,pending,0,0,
2017-08,pending,0,0,
2017-09,pending,0,0,
2017-10,pending,0,0,
2017-11,pending,0,0,
2017-12,pending,0,0,
2018-01,pending,0,0,
2018-02,pending,0,0,
2018-03,pending,0,0,
2018-04,pending,0,0,
2018-05,pending,0,0,
2018-06,pending,0,0,
2018-07,pending,0,0,
2018-08,pending,0,0,
2018-09,pending,0,0,
2018-10,pending,0,0,
2018-11,pending,0,0,
2018-12,pending,0,0,
2019-01,pending,0,0,
2019-02,pending,0,0,
2019-03,pending,0,0,
2019-04,pending,0,0,
2019-05,pending,0,0,
2019-06,pending,0,0,
2019-07,pending,0,0,
2019-08,pending,0,0,
2019-09,pending,0,0,
2019-10,pending,0,0,
2019-11,pending,0,0,
2019-12,pending,0,0,
2020-01,pending,0,0,
2020-02,pending,0,0,
2020-03,pending,0,0,
2020-04,pending,0,0,
2020-05,pending,0,0,
2020-06,pending,0,0,
2020-07,pending,0,0,
2020-08,pending,0,0,
2020-09,pending,0,0,
2020-10,pending,0,0,
2020-11,pending,0,0,
2020-12,pending,0,0,
2021-01,pending,0,0,
2021-02,pending,0,0,
2021-03,pending,0,0,
2021-04,pending,0,0,
2021-05,pending,0,0,
2021-06,pending,0,0,
2021-07,pending,0,0,
2021-08,pending,0,0,
2021-09,pending,0,0,
2021-10,pending,0,0,
2021-11,pending,0,0,
2021-12,pending,0,0,
2022-01,pending,0,0,
2022-02,pending,0,0,
2022-03,pending,0,0,
2022-04,pending,0,0,
2022-05,pending,0,0,
2022-06,pending,0,0,
2022-07,verified,1,1,现有历史种子已迁移并核验；未主张网暴与死亡存在已确认因果
2022-08,pending,0,0,
2022-09,pending,0,0,
2022-10,pending,0,0,
2022-11,pending,0,0,
2022-12,pending,0,0,
2023-01,pending,0,0,
2023-02,pending,0,0,
2023-03,pending,0,0,
2023-04,pending,0,0,
2023-05,pending,0,0,
2023-06,verified,1,1,现有历史种子已迁移并核验；警方未确认网暴与坠亡存在关联
2023-07,pending,0,0,
2023-08,pending,0,0,
2023-09,pending,0,0,
2023-10,pending,0,0,
2023-11,verified,1,1,现有历史种子已迁移并核验；项目按延期风险而非已确认烂尾表述
2023-12,pending,0,0,
2024-01,pending,0,0,
2024-02,pending,0,0,
2024-03,pending,0,0,
2024-04,pending,0,0,
2024-05,pending,0,0,
2024-06,pending,0,0,
2024-07,pending,0,0,
2024-08,pending,0,0,
2024-09,pending,0,0,
2024-10,pending,0,0,
2024-11,pending,0,0,
2024-12,pending,0,0,
2025-01,pending,0,0,
2025-02,pending,0,0,
2025-03,pending,0,0,
2025-04,pending,0,0,
2025-05,pending,0,0,
2025-06,pending,0,0,
2025-07,pending,0,0,
2025-08,pending,0,0,
2025-09,pending,0,0,
2025-10,pending,0,0,
2025-11,pending,0,0,
2025-12,pending,0,0,
2026-01,pending,0,0,
2026-02,pending,0,0,
2026-03,pending,0,0,
2026-04,pending,0,0,
2026-05,pending,0,0,
2026-06,pending,0,0,
2026-07,pending,0,0,
2026-08,verified,5,5,原会话5条候选均已迁移并核验；证据截止2026-08-31
